,Movie,Rating,Genre,Release Date,Runtime,Director,URL
128,Terrifier,66.0,"Horror, Thriller",08/17/2018 ,1h 24m,Damien Leone,https://www.themoviedb.org/movie/420634-terrifier
129,The Sensuous Nurse,55.0,Comedy,12/19/1975 ,1h 30m,Nello Rossati,https://www.themoviedb.org/movie/4705-l-infermiera
130,Whisper,63.0,"Horror, Thriller",06/23/2022 ,1h 16m,Christopher Jolley,https://www.themoviedb.org/movie/928773-whisper
131,The Tomorrow War,79.0,"Action, Science Fiction, Adventure",07/02/2021 ,2h 18m,Chris McKay,https://www.themoviedb.org/movie/588228-the-tomorrow-war
132,I Don't Like Younger Men 4,60.0,Romance,07/26/2019 ,1h 10m,Kim Tae-Soo,https://www.themoviedb.org/movie/619433-4
133,20th Century Girl,87.0,"Romance, Drama",10/21/2022 ,1h 59m,Bang Woo-ri,https://www.themoviedb.org/movie/851644-20
134,"Lagunas, la guarida del diablo",35.0,Horror,05/11/2022 ,Null,Marc Carreté,https://www.themoviedb.org/movie/967892-lagunas-la-guarida-del-diablo
135,20/20 Presents Black Panther: In Search of Wakanda,60.0,Documentary,11/04/2022 ,43m,David Hoffman,https://www.themoviedb.org/movie/1043835-20-20-presents-black-panther-in-search-of-wakanda
136,Inexorable,58.0,Thriller,04/06/2022 ,1h 38m,Fabrice Du Welz,https://www.themoviedb.org/movie/781099-inexorable
137,Bubble,75.0,"Animation, Adventure, Science Fiction",04/28/2022 ,1h 41m,Kenji Takahashi,https://www.themoviedb.org/movie/912598
138,Pinocchio,66.0,"Fantasy, Adventure, Family",09/08/2022 ,1h 45m,Robert Zemeckis,https://www.themoviedb.org/movie/532639-pinocchio
139,Hotel Transylvania: Transformania,71.0,"Animation, Comedy, Family, Fantasy, Adventure",02/25/2022 ,1h 27m,Derek Drymon,https://www.themoviedb.org/movie/585083-hotel-transylvania-transformania
140,Teasing Master Takagi-san: The Movie,87.0,"Animation, Comedy, Romance",06/10/2022 ,1h 13m,Hiroaki Akagi,https://www.themoviedb.org/movie/938567
141,Paws of Fury: The Legend of Hank,67.0,"Family, Comedy, Animation, Action",07/22/2022 ,1h 38m,Chris Bailey,https://www.themoviedb.org/movie/366672-paws-of-fury-the-legend-of-hank
142,Strange World,64.0,"Animation, Science Fiction, Adventure, Family",11/23/2022 ,1h 42m,Qui Nguyen,https://www.themoviedb.org/movie/877269-strange-world
143,The Ledge,62.0,"Thriller, Adventure, Mystery, Action, Crime",06/15/2022 ,1h 26m,Howard J. Ford,https://www.themoviedb.org/movie/924482-the-ledge
144,Christmas with You,58.0,"Romance, Comedy",11/17/2022 ,1h 31m,Kyle Burstein,https://www.themoviedb.org/movie/936960-christmas-with-you
145,The Addams Family 2,71.0,"Animation, Adventure, Comedy, Family, Fantasy, Horror",10/01/2021 ,1h 33m,Conrad Vernon,https://www.themoviedb.org/movie/639721-the-addams-family-2
146,Addams Family Values,69.0,"Comedy, Family, Fantasy",11/19/1993 ,1h 34m,Barry Sonnenfeld,https://www.themoviedb.org/movie/2758-addams-family-values
147,Fullmetal Alchemist: The Revenge of Scar,69.0,"Fantasy, Action, Adventure",05/20/2022 ,2h 5m,Fumihiko Sori,https://www.themoviedb.org/movie/960700
148,White Elephant,66.0,"Action, Crime, Thriller",09/22/2022 ,1h 33m,Jesse V. Johnson,https://www.themoviedb.org/movie/843633-white-elephant
149,Harry Potter and the Philosopher's Stone,79.0,"Adventure, Fantasy",04/12/2002 ,2h 32m,R.J. Mino,https://www.themoviedb.org/movie/671-harry-potter-and-the-philosopher-s-stone
150,"Monica, O My Darling",76.0,"Crime, Comedy, Drama",11/11/2022 ,2h 9m,Vasan Bala,https://www.themoviedb.org/movie/915831
151,RRR,78.0,"Action, Drama",03/25/2022 ,3h 7m,S. S. Rajamouli,https://www.themoviedb.org/movie/579974
152,Bullet Proof,56.0,"Action, Crime",08/25/2022 ,1h 21m,James Clayton,https://www.themoviedb.org/movie/993145-bullet-proof
153,A Christmas Story Christmas,60.0,"Family, Comedy, Drama",12/08/2022 ,1h 38m,Clay Kaytis,https://www.themoviedb.org/movie/929340-a-christmas-story-christmas
154,End of the Road,64.0,"Thriller, Drama, Crime",09/09/2022 ,1h 29m,Millicent Shelton,https://www.themoviedb.org/movie/773975-end-of-the-road
155,My Hero Academia: World Heroes' Mission,76.0,"Animation, Action, Adventure, Science Fiction",08/06/2021 ,1h 45m,Kenji Nagasaki,https://www.themoviedb.org/movie/768744-the-movie
156,Wakanda,80.0,Music,07/06/2018 ,Null,Ahmed Amrani,https://www.themoviedb.org/movie/950044-wakanda
157,The Hip Hop Nutcracker,50.0,Music,11/25/2022 ,44m,Elizabeth Avellan,https://www.themoviedb.org/movie/1023803-the-hip-hop-nutcracker
158,Fantastic Beasts: The Secrets of Dumbledore,68.0,"Fantasy, Adventure, Action",04/15/2022 ,2h 22m,David Yates,https://www.themoviedb.org/movie/338953-fantastic-beasts-the-secrets-of-dumbledore
159,The Fallout,75.0,Drama,01/27/2022 ,1h 36m,Megan Park,https://www.themoviedb.org/movie/795514-the-fallout
160,Avengers: Infinity War,83.0,"Adventure, Action, Science Fiction",04/27/2018 ,2h 29m,Anthony Russo,https://www.themoviedb.org/movie/299536-avengers-infinity-war
161,The Northman,72.0,"Action, Adventure, Fantasy",04/22/2022 ,2h 17m,James Harris,https://www.themoviedb.org/movie/639933-the-northman
162,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,85.0,"Animation, Fantasy, Adventure",11/25/2022 ,Null,Yasuhito Kikuchi,https://www.themoviedb.org/movie/876792
163,Stowaway,68.0,"Thriller, Action",08/31/2022 ,1h 34m,Declan Whitebloom,https://www.themoviedb.org/movie/999205-stowaway
164,Day Shift,69.0,"Action, Fantasy, Horror, Comedy",08/12/2022 ,1h 53m,J.J. Perry,https://www.themoviedb.org/movie/755566-day-shift
165,The princess,74.0,Action,08/05/2022 ,Null,Alonso O. Lara,https://www.themoviedb.org/movie/1008779-la-princesa
166,Welcome to the Club,67.0,"Animation, Comedy",09/08/2022 ,4m,David Silverman,https://www.themoviedb.org/movie/1015602-welcome-to-the-club
167,The Lost City,67.0,"Action, Adventure, Comedy",03/25/2022 ,1h 52m,Aaron Nee,https://www.themoviedb.org/movie/752623-the-lost-city
168,Wire Room,68.0,"Action, Adventure, Crime, Mystery, Thriller",09/02/2022 ,1h 37m,Matt Eskandari,https://www.themoviedb.org/movie/921360-wire-room
169,X,68.0,"Horror, Mystery, Thriller",03/18/2022 ,1h 46m,Ti West,https://www.themoviedb.org/movie/760104-x
170,Halloween Ends,65.0,"Horror, Thriller",10/14/2022 ,1h 51m,David Gordon Green,https://www.themoviedb.org/movie/616820-halloween-ends
171,Don't Come Back Alive,61.0,"Thriller, Fantasy, Horror",09/29/2022 ,1h 25m,Néstor Sánchez Sotelo,https://www.themoviedb.org/movie/812488-mete-miedo
172,Black Site,69.0,"Action, Thriller",06/30/2022 ,1h 39m,Sophia Banks,https://www.themoviedb.org/movie/848123-black-site
